,full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
0,sicepat bisa ga lu jangan lambat,bisa ga lu jangan lambat,can you not be slow,slow,['slow'],['slow']
1,sumpah aku td kesel sm org trus pasrah bangsattt orgnya tbtb kecelakaan ajg kmrn ada org jg sempet marahin aku pdhl aku diem doang bsk paginya langsung ilang ktmnya bro karma is more faster than sicepat,sumpah aku td kesel sm org trus pasrah bangsattt orgnya tbtb kecelakaan ajg kmrn ada org jg sempet marahin aku pdhl aku diem doang bsk paginya langsung ilang ktmnya bro karma is more faster than,"i swear i will be upset, then i resigned the numb, the number of accidents is that there are people who have been angry with me.",swear upset resigned numb number accidents people angry me,"['swear', 'upset', 'resigned', 'numb', 'number', 'accidents', 'people', 'angry', 'me']","['swear', 'upset', 'resign', 'numb', 'number', 'accident', 'people', 'angry', 'me']"
2,sumpah adm sicepat jg responnya gtu kmu sabar yahh,sumpah adm jg responnya gtu kmu sabar yahh,i swear adm also the response is that you are patient,swear adm also response patient,"['swear', 'adm', 'also', 'response', 'patient']","['swear', 'adm', 'also', 'response', 'patient']"
3,mau tanya kalian yang seller di shopee dan kalo ada buyer pake jasa ekspedisi sicepat trus misal ngirimnya lebih dari tgl  juni tp udah diatur pengiriman nanti bakal aman ga ya atau ada efeknya di tokopenghasilan soalnya aku baru bs kirim tgl  juni,mau tanya kalian yang seller di shopee dan kalo ada buyer pake jasa ekspedisi trus misal ngirimnya lebih dari tgl juni tp udah diatur pengiriman nanti bakal aman ga ya atau ada efeknya di tokopenghasilan soalnya aku baru bs kirim tgl juni,"want to ask those of you who are sellers in shopee and if there is a buyer using expedition services then for example sending it more than the june but already set it will be safe, it will be safe or there is an effect on the income because i just sent it on june",want ask sellers shopee buyer using expedition services example sending june already set safe safe effect income sent june,"['want', 'ask', 'sellers', 'shopee', 'buyer', 'using', 'expedition', 'services', 'example', 'sending', 'june', 'already', 'set', 'safe', 'safe', 'effect', 'income', 'sent', 'june']","['want', 'ask', 'seller', 'shopee', 'buyer', 'use', 'expedition', 'service', 'example', 'send', 'june', 'already', 'set', 'safe', 'safe', 'effect', 'income', 'sent', 'june']"
4,nih chatku sama sicepat amp seller,nih chatku sama amp seller,here my chat with amp seller,chat amp seller,"['chat', 'amp', 'seller']","['chat', 'amp', 'seller']"
5,emang ngeselin bgt sumpah deh kak aku pun kesel bgtttt jugaan masalahnya ilangnya dimana juga kita ga dikasi tau kan,emang ngeselin bgt sumpah deh kak aku pun kesel bgtttt jugaan masalahnya ilangnya dimana juga kita ga dikasi tau kan,"i really know, i swear, sis, i'm so frustrated, so the problem will be lost where we don't know it, right?",really know swear sis im frustrated problem lost know it right,"['really', 'know', 'swear', 'sis', 'im', 'frustrated', 'problem', 'lost', 'know', 'it', 'right']","['really', 'know', 'swear', 'si', 'im', 'frustrate', 'problem', 'lose', 'know', 'it', 'right']"
6,masi galauin poca jh carland yg diilangin sama sicepat faakkkkk,MASI GALAUIN POCA JH CARLAND YG DIILANGIN SAMA FAAKKKKK,still upset jh carland's girlfriend who was eliminated by kk,still upset jh carlands girlfriend eliminated kk,"['still', 'upset', 'jh', 'carlands', 'girlfriend', 'eliminated', 'kk']","['still', 'upset', 'jh', 'carlands', 'girlfriend', 'eliminate', 'kk']"
7,min nggak ada rencana nambah ekspedisi yg ngelayanin gratis ongkir selain sama,min nggak ada rencana nambah ekspedisi yg ngelayanin gratis ongkir selain sama,"min, there is no plan to add an expedition that is free of shipping, other than the same",min plan add expedition free shipping,"['min', 'plan', 'add', 'expedition', 'free', 'shipping']","['min', 'plan', 'add', 'expedition', 'free', 'shipping']"
8,ksian seller pdhl dr sicepat yg teledor,ksian seller pdhl dr yg teledor,ksian seller pdhl,ksian seller pdhl,"['ksian', 'seller', 'pdhl']","['ksian', 'seller', 'pdhl']"
9,beli tempered glass di shopee pas nyampe patah hiks kalau begini gimana seller udah bubble wrap mantep sampe ada selotip fragilenya tp pas nyampe dusnya bengkok,beli tempered glass di shopee pas nyampe patah HIKS kalau begini gimana seller udah bubble wrap mantep sampe ada selotip fragilenya tp pas nyampe dusnya bengkok,buy tempered glass in shopee when it arrived at a broken hiks if this is how the seller is already bubble wrap is good until there is a fragile tape but when it arrives the bent.,buy tempered glass shopee arrived broken hiks seller already bubble wrap good fragile tape arrives bent,"['buy', 'tempered', 'glass', 'shopee', 'arrived', 'broken', 'hiks', 'seller', 'already', 'bubble', 'wrap', 'good', 'fragile', 'tape', 'arrives', 'bent']","['buy', 'temper', 'glass', 'shopee', 'arrive', 'broken', 'hiks', 'seller', 'already', 'bubble', 'wrap', 'good', 'fragile', 'tape', 'arrives', 'bent']"
