full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized,text_lemmatized,pos,neg,neu,label
Sicepat kurir dong,kurir dong,courier please,courier please,"['courier', 'please']","['courier', 'please']",courier please,0.697,0.0,0.303,positive
Order pakai sicepat best bukannya sampe besok hari blom dateng,Order pakai best bukannya sampe besok hari blom dateng,order to use the best until tomorrow is not coming,order use best tomorrow coming,"['order', 'use', 'best', 'tomorrow', 'coming']","['order', 'use', 'best', 'tomorrow', 'come']",order use best tomorrow come,0.512,0.0,0.488,positive
admin tolong hubungi sicepat Kedawung Cirebon paket saya TKPTJJCCEC tidak dikirimkirim padahal sudah sampai gudang deket rumah,admin tolong hubungi Kedawung Cirebon paket saya TKPTJJCCEC tidak dikirimkirim padahal sudah sampai gudang deket rumah,"admin please contact kedawung cirebon, my package is not sent to send it even though it has reached the warehouse near the house",admin please contact kedawung cirebon package sent send even though reached warehouse near house,"['admin', 'please', 'contact', 'kedawung', 'cirebon', 'package', 'sent', 'send', 'even', 'though', 'reached', 'warehouse', 'near', 'house']","['admin', 'please', 'contact', 'kedawung', 'cirebon', 'package', 'sent', 'send', 'even', 'though', 'reach', 'warehouse', 'near', 'house']",admin please contact kedawung cirebon package sent send even though reach warehouse near house,0.221,0.0,0.779,positive
duh ini bagaimana ya baru pertama kali pakai dapet pengalaman seperti gini padahal di aplikasi lain kalau pakai alamat yang sama bisa sampai,duh ini bagaimana ya baru pertama kali pakai dapet pengalaman seperti gini padahal di aplikasi lain kalau pakai alamat yang sama bisa sampai,"this is the first time i use experience, i got an experience like this even though in another application if you use the same address",first time use experience got experience like even though another application use address,"['first', 'time', 'use', 'experience', 'got', 'experience', 'like', 'even', 'though', 'another', 'application', 'use', 'address']","['first', 'time', 'use', 'experience', 'get', 'experience', 'like', 'even', 'though', 'another', 'application', 'use', 'address']",first time use experience get experience like even though another application use address,0.172,0.0,0.828,positive
pakai ekspedisi sicepat kh kalau iya emg Sedang trobel itu kayanya,pakai ekspedisi kh kalau iya emg Sedang trobel itu kayanya,"use the kh expedition if yes, the trobel is rich",use kh expedition yes trobel rich,"['use', 'kh', 'expedition', 'yes', 'trobel', 'rich']","['use', 'kh', 'expedition', 'yes', 'trobel', 'rich']",use kh expedition yes trobel rich,0.612,0.0,0.388,positive
ekspedisi sicepat kaya,ekspedisi kaya,rich expedition,rich expedition,"['rich', 'expedition']","['rich', 'expedition']",rich expedition,0.783,0.0,0.217,positive
Sicepat karena kurirnya ramah banget,karena kurirnya ramah banget,because the courier is very friendly,courier friendly,"['courier', 'friendly']","['courier', 'friendly']",courier friendly,0.762,0.0,0.238,positive
sicepat weee cepet sangat nyampe nya,weee cepet sangat nyampe nya,wee was very fast,wee fast,"['wee', 'fast']","['wee', 'fast']",wee fast,0.6,0.0,0.4,positive
Jampt sama spx samasama cepet kok di saya tetapi sicepat id ninja sudah ada pengalaman jelek jadinya trust issue,Jampt sama samasama cepet kok di saya tetapi id ninja sudah ada pengalaman jelek jadinya trust issue,jampt and the same as fast in me but ninja id has an ugly experience so it is trust issue,jampt fast ninja id ugly experience trust issue,"['jampt', 'fast', 'ninja', 'id', 'ugly', 'experience', 'trust', 'issue']","['jampt', 'fast', 'ninja', 'id', 'ugly', 'experience', 'trust', 'issue']",jampt fast ninja id ugly experience trust issue,0.366,0.252,0.382,positive
dulu sering banget pakai sicepat buat belikirim barang dan tidak kali ngirim barang yang harganya lumayan macem kamera macbook ipad karena handling waktu pengiriman sama harganya pas bangetgara sekarang kena kasus paket stuck jadi bersyukur dulu barangku tidak bermasalah di jalan,dulu sering banget pakai buat belikirim barang dan tidak kali ngirim barang yang harganya lumayan macem kamera macbook ipad karena handling waktu pengiriman sama harganya pas bangetgara sekarang kena kasus paket stuck jadi bersyukur dulu barangku tidak bermasalah di jalan,"in the past, i used to use the goods and not sent goods that were quite a lot of macbook ipad cameras because handling the same shipping time was right now, now it was hit by a stuck package so i was grateful that my stuck didn't have problems on the road",past used use goods sent goods quite lot macbook ipad cameras handling shipping time right now hit stuck package grateful stuck problems road,"['past', 'used', 'use', 'goods', 'sent', 'goods', 'quite', 'lot', 'macbook', 'ipad', 'cameras', 'handling', 'shipping', 'time', 'right', 'now', 'hit', 'stuck', 'package', 'grateful', 'stuck', 'problems', 'road']","['past', 'use', 'use', 'good', 'sent', 'good', 'quite', 'lot', 'macbook', 'ipad', 'camera', 'handle', 'shipping', 'time', 'right', 'now', 'hit', 'stuck', 'package', 'grateful', 'stuck', 'problem', 'road']",past use use good sent good quite lot macbook ipad camera handle shipping time right now hit stuck package grateful stuck problem road,0.271,0.206,0.523,positive
